date,symbol,open,close,low,high,volume
1/4/2010,AAL,4.84,4.77,4.66,4.94,9837300
1/4/2010,DOW,28.200001,29.18,27.799999,29.190001,16933000
1/4/2010,EQIX,106.519997,109.559998,106.510002,109.620003,576300
1/4/2010,ZION,12.94,13.33,12.88,13.37,3974600
1/5/2010,AAL,4.79,5.31,4.71,5.37,25212000
1/5/2010,DOW,29,30.48,29,30.530001,18783800
1/5/2010,EQIX,109.589996,108.540001,108.379997,109.589996,681900
1/5/2010,ZION,13.28,13.8,13.23,13.83,5605500
1/6/2010,AAL,5.19,5.09,5,5.38,16597900
1/6/2010,DOW,30.98,31.02,30.780001,31.66,21969300
1/6/2010,EQIX,108.949997,109.529999,108.220001,110.57,1397500
1/6/2010,ZION,13.67,15,13.66,15.01,12615200
1/7/2010,AAL,5.06,5.24,5.05,5.43,14033400
1/7/2010,DOW,31.01,31.040001,30.67,31.299999,10325600
1/7/2010,EQIX,109.25,107.290001,106.639999,110.349998,797200
1/7/2010,ZION,14.97,16.68,14.95,17,24716800
1/8/2010,AAL,5.27,5.14,5.06,5.43,12760000
1/8/2010,DOW,30.76,31.15,30.4,31.34,7732100
1/8/2010,EQIX,106.800003,106.769997,105.900002,107.279999,432400
1/8/2010,ZION,16.190001,16.41,15.52,16.66,6903000
1/11/2010,AAL,5.13,5.04,4.94,5.23,10952900
1/11/2010,DOW,31.639999,30.76,30.48,31.639999,10254900
1/11/2010,EQIX,106.970001,107.650002,106.699997,108.150002,568400
1/11/2010,ZION,16.469999,16.51,16.1,16.790001,5532000
1/12/2010,AAL,5.06,5.08,4.96,5.15,7870300
1/12/2010,DOW,30.4,30.860001,30.190001,31.09,10274800
1/12/2010,EQIX,106.599998,103.290001,102.959999,107.650002,948100
1/12/2010,ZION,16.379999,16.049999,15.83,16.940001,7340200
1/13/2010,AAL,5.12,5.48,5.02,5.5,16400500
1/13/2010,DOW,30.83,30.75,30.139999,31.17,6282400
1/13/2010,EQIX,102.25,103.080002,102.25,104.360001,704100
1/13/2010,ZION,15.95,16.35,15.14,16.57,10367200
1/14/2010,AAL,5.46,5.59,5.41,5.71,12767100
1/14/2010,DOW,30.540001,30.530001,30.34,30.84,5314000
1/14/2010,EQIX,103.32,104.120003,103.32,104.769997,954700
1/14/2010,ZION,16.360001,16.709999,16.25,16.85,4677900
1/15/2010,AAL,5.64,5.5,5.43,5.84,10985300
1/15/2010,DOW,30.540001,29.99,29.75,30.540001,9642600
1/15/2010,EQIX,104.379997,102.110001,101.550003,104.480003,814600
1/15/2010,ZION,16.780001,16.26,16.120001,16.889999,4889300
1/19/2010,AAL,5.5,5.64,5.5,5.73,7807700
1/19/2010,DOW,29.719999,30.68,29.719999,30.719999,6083000
1/19/2010,EQIX,102.690002,103.93,101.599998,104.160004,616400
1/19/2010,ZION,16.25,17.110001,16.059999,17.200001,7056700
1/20/2010,AAL,5.65,5.74,5.61,5.89,13289100
1/20/2010,DOW,30.559999,30.360001,29.809999,30.57,8537400
1/20/2010,EQIX,102.849998,103.449997,101.970001,104.029999,411500
1/20/2010,ZION,16.91,17.92,16.85,18,9979700
1/21/2010,AAL,5.88,5.46,5.42,5.96,15641000
